episode,epsilon_is,push_p10_is,push_p10_nois,push_p20_is,push_p20_nois,push_p30_is,push_p30_nois
434,-248,-505,-505,-505,-505,-505,-505
435,-32,-505,-505,-505,-505,-505,-505
436,-70,-505,-175,-505,-505,-505,-505
437,-129,-505,-505,-505,-193,-505,-505
438,-87,-381,-467,-505,-505,-505,-505
439,-148,-505,-505,-505,-505,-505,-505
440,-505,-505,-505,-505,-505,-505,-505
441,-505,-505,-505,-505,-505,-505,-505
442,-505,-505,-142,-505,-505,-505,-505
443,-465,-505,-275,-505,-505,-505,-505
444,-237,-108,-505,-505,-505,-505,-505
445,-505,-505,-505,-505,-505,-505,-505
446,-276,-505,-505,-505,-505,-505,-505
447,-245,-95,-505,-505,-505,-505,-505
448,-505,-505,-505,-505,-505,-505,-505
449,-505,-249,-505,-505,-505,-505,-505
450,-357,-505,-505,-505,-505,-505,-505
451,-103,-193,-484,-505,-505,-505,-505
452,-505,-505,-505,-505,-505,-505,-505
453,-253,-505,-143,-505,-505,-505,-505
454,-338,-477,-505,-505,-505,-505,-505
455,-505,-505,-505,-505,-132,-505,-505
456,-505,-505,-505,-505,-505,-505,-505
457,-116,-505,-495,-505,-505,-505,-505
458,-34,-505,-399,-505,-505,-505,-505
459,-505,-382,-266,-505,-505,-505,-505
460,-80,-505,-505,-505,-505,-505,-505
461,-505,-505,-505,-505,-32,-505,-505
462,-91,-505,-141,-505,-505,-505,-505
463,-411,-505,-505,-505,-505,-505,-505
464,-31,-505,-505,-505,-505,-505,-505
465,-131,-505,-505,-505,-505,-505,-505
466,-220,-505,-505,-505,-505,-505,-505
467,-505,-505,-204,-505,-505,-505,-505
468,-60,-353,-505,-505,-505,-505,-505
469,-106,-505,-505,-505,-505,-505,-505
470,-130,-132,-64,-505,-219,-505,-505
471,-28,-505,-180,-505,-505,-505,-505
472,-505,-505,-203,-505,-505,-505,-505
473,-60,-505,-92,-505,-194,-505,-505
474,-505,-505,-497,-505,-505,-505,-505
475,-505,-505,-505,-505,-505,-505,-505
476,-505,-505,-288,-144,-274,-505,-505
477,-221,-130,-505,-505,-279,-505,-505
478,-127,-106,-116,-505,-505,-505,-505
479,-505,-505,-505,-505,-505,-505,-505
480,-97,-505,-505,-505,-505,-505,-505
481,-505,-24,-505,-505,-505,-505,-505
482,-220,-505,-505,-505,-505,-505,-505
483,-21,-505,-256,-505,-505,-505,-505
484,-505,-505,-505,-505,-505,-505,-505
485,-505,-432,-202,-505,-505,-505,-505
486,-44,-505,-505,-505,-505,-505,-505
487,-196,-505,-505,-505,-505,-505,-505
488,-201,-505,-505,-505,-505,-505,-505
489,-77,-505,-377,-505,-505,-505,-505
490,-505,-505,-232,-505,-505,-505,-505
491,-209,-505,-505,-505,-505,-505,-505
492,-505,-505,-505,-505,-53,-505,-505
493,-108,-140,-357,-505,-505,-505,-505
494,-65,-505,-505,-505,-505,-505,-505
495,-266,-505,-248,-505,-505,-505,-505
496,-433,-56,-505,-505,-505,-505,-505
497,-505,-505,-505,-505,-505,-505,-505
498,-352,-439,-152,-505,-505,-505,-505
499,-371,-505,-143,-505,-260,-505,-505
500,-66,-505,-505,-505,-505,-505,-505
501,-505,-505,-158,-505,-505,-505,-505
502,-42,-365,-505,-505,-505,-505,-505
503,-90,-505,-505,-505,-108,-505,-505
504,-505,-505,-505,-505,-505,-505,-505
505,-81,-505,-505,-505,-505,-505,-505
506,-211,-452,-89,-505,-505,-505,-505
507,-58,-505,-505,-505,-505,-505,-505
508,-505,-505,-505,-505,-505,-505,-505
509,-174,-505,-212,-505,-505,-505,-505
510,-505,-505,-505,-505,-505,-505,-505
511,-46,-72,-505,-505,-505,-505,-505
512,-126,-410,-482,-505,-505,-505,-505
513,-443,-505,-146,-505,-505,-505,-505
514,-225,-505,-505,-505,-505,-505,-505
515,-48,-174,-505,-505,-80,-505,-505
516,-505,-505,-174,-505,-505,-505,-505
517,-193,-505,-505,-505,-505,-505,-505
518,-150,-505,-505,-505,-34,-505,-505
519,-143,-505,-505,-505,-505,-505,-505
520,-110,-505,-505,-505,-505,-505,-505
521,-191,-470,-505,-505,-505,-505,-505
522,-228,-505,-212,-505,-505,-505,-505
523,-143,-505,-110,-505,-505,-505,-505
524,-105,-505,-505,-505,-505,-505,-505
525,-161,-505,-415,-505,-505,-505,-505
526,-308,-505,-339,-505,-505,-505,-505
527,-505,-505,-505,-505,-369,-505,-505
528,-69,-236,-144,-505,-505,-505,-505
529,-199,-505,-505,-505,-505,-505,-505
530,-161,-505,-130,-505,-505,-505,-505
531,-368,-103,-360,-505,-505,-505,-326
532,-250,-156,-505,-505,-505,-505,-505
533,-79,-505,-461,-505,-505,-505,-505
534,-505,-505,-480,-505,-505,-505,-505
535,-159,-228,-68,-505,-505,-505,-505
536,-490,-505,-377,-505,-505,-505,-505
537,-154,-505,-505,-505,-505,-505,-505
538,-284,-505,-505,-505,-505,-505,-505
539,-195,-505,-505,-505,-505,-505,-505
540,-26,-505,-481,-505,-505,-505,-505
541,-326,-505,-505,-505,-134,-505,-505
542,-136,-319,-505,-505,-505,-505,-505
543,-230,-351,-505,-505,-505,-505,-505
544,-151,-361,-505,-505,-505,-505,-505
545,-77,-505,-505,-505,-505,-505,-505
546,-459,-505,-505,-505,-505,-505,-505
547,-273,-505,-505,-505,-505,-505,-505
548,-66,-238,-433,-505,-505,-505,-505
549,-107,-505,-505,-505,-505,-505,-505
550,-115,-505,-285,-505,-505,-505,-505
551,-505,-80,-505,-505,-505,-505,-505
552,-143,-505,-505,-505,-505,-505,-505
553,-353,-505,-505,-505,-505,-505,-505
554,-160,-150,-505,-505,-505,-505,-505
555,-100,-505,-505,-505,-505,-505,-505
556,-115,-505,-257,-505,-505,-505,-505
557,-505,-505,-394,-505,-505,-505,-505
558,-359,-505,-469,-505,-505,-505,-505
559,-370,-234,-220,-505,-505,-505,-505
560,-443,-163,-407,-505,-505,-505,-505
561,-307,-505,-496,-505,-505,-505,-505
562,-232,-505,-505,-505,-505,-505,-505
563,-46,-505,-314,-505,-505,-505,-505
564,-39,-505,-505,-505,-505,-505,-505
565,-78,-213,-505,-505,-505,-505,-505
566,-100,-199,-419,-505,-505,-505,-505
567,-111,-505,-505,-505,-505,-505,-505
568,-160,-184,-505,-505,-505,-505,-505
569,-37,-505,-505,-505,-505,-505,-505
570,-71,-505,-505,-505,-505,-505,-505
571,-83,-505,-232,-505,-505,-505,-505
572,-246,-505,-505,-505,-505,-505,-505
573,-161,-505,-505,-505,-505,-505,-505
574,-90,-505,-505,-505,-505,-505,-505
575,-78,-505,-505,-505,-505,-505,-505
576,-107,-131,-505,-505,-505,-505,-505
577,-505,-505,-505,-505,-505,-505,-505
578,-186,-466,-288,-505,-36,-505,-505
579,-180,-505,-505,-505,-505,-505,-505
580,-151,-505,-66,-505,-505,-505,-295
581,-85,-505,-505,-505,-505,-505,-505
582,-39,-505,-174,-505,-505,-505,-505
583,-135,-339,-302,-505,-505,-505,-505
584,-18,-505,-505,-505,-491,-505,-505
585,-30,-505,-25,-505,-450,-505,-505
586,-36,-505,-57,-505,-505,-505,-505
587,-381,-505,-399,-42,-505,-505,-505
588,-188,-505,-505,-505,-505,-505,-505
589,-46,-159,-62,-505,-505,-505,-505
590,-102,-505,-505,-505,-505,-505,-505
591,-25,-505,-357,-505,-57,-505,-505
592,-80,-505,-255,-505,-505,-505,-505
593,-108,-505,-301,-505,-505,-505,-505
594,-38,-328,-505,-505,-505,-505,-505
595,-85,-505,-372,-505,-505,-505,-505
596,-35,-489,-505,-274,-505,-505,-505
597,-77,-505,-505,-505,-505,-505,-505
598,-74,-505,-334,-505,-505,-505,-505
599,-20,-57,-505,-505,-505,-505,-505
